center_x_m,center_y_m,inner_x_m,inner_y_m,outer_x_m,outer_y_m
3.742193,5.630950,3.837652,5.283602,3.648629,5.971494
3.709573,5.611042,3.837620,5.282275,3.582122,5.939255
3.678059,5.591593,3.837922,5.280841,3.518525,5.901999
3.635498,5.565228,3.838855,5.278964,3.432153,5.851447
3.550753,5.511812,3.752099,5.228752,3.349157,5.796028
3.466554,5.457729,3.665005,5.179016,3.267289,5.739019
3.382609,5.403543,3.577861,5.129352,3.185680,5.681645
3.298908,5.349130,3.490640,5.079794,3.104858,5.623096
3.221544,5.285801,3.409275,5.021700,3.029675,5.556224
3.145303,5.221302,3.329923,4.960685,2.954969,5.488745
3.107279,5.189678,3.252180,4.899669,2.950759,5.483324
3.068647,5.158029,3.174624,4.838399,2.945619,5.479178
3.029667,5.126584,3.097138,4.776829,2.940124,5.476539
2.997676,5.101217,3.035361,4.737858,2.935923,5.475528
2.957985,5.070994,2.965878,4.711457,2.931508,5.475012
2.911198,5.037228,2.891236,4.700425,2.926959,5.475055
2.860826,5.026557,2.815421,4.706008,2.922406,5.475647
2.818877,5.062817,2.744175,4.727468,2.918078,5.476772
2.780786,5.097188,2.679286,4.763629,2.913953,5.478333
2.749916,5.127112,2.623385,4.809127,2.910248,5.480460
2.722995,5.154138,2.571701,4.858901,2.907109,5.483690
2.660699,5.218139,2.499256,4.927288,2.834289,5.510080
2.626333,5.254647,2.427490,4.995391,2.832552,5.517100
2.592303,5.291505,2.355303,5.063396,2.832910,5.524612
2.525014,5.365982,2.281194,5.130978,2.770797,5.603710
2.458583,5.441349,2.206732,5.198218,2.710463,5.684522
2.392097,5.516660,2.146049,5.278760,2.636260,5.751943
2.324783,5.591112,2.083853,5.357837,2.562197,5.819502
2.290713,5.627892,2.084188,5.365151,2.490053,5.887510
2.225634,5.696044,2.009878,5.412947,2.417130,5.955661
2.202875,5.719108,2.007748,5.416377,2.372456,5.998444
2.178548,5.743322,2.005142,5.419289,2.327134,6.040563
2.149877,5.770479,2.002109,5.421891,2.275276,6.076118
2.119523,5.798000,1.998722,5.423989,2.219092,6.104014
2.082539,5.803270,1.995182,5.425402,2.161293,6.120318
2.042285,5.791622,1.991392,5.426247,2.100056,6.124434
2.005892,5.779884,1.987502,5.426252,2.039004,6.118907
1.974231,5.769150,1.983660,5.425950,1.979617,6.105274
1.926951,5.752703,1.977485,5.424194,1.885881,6.073969
1.879780,5.735930,1.971663,5.420919,1.792074,6.042967
1.785677,5.701590,1.878210,5.383831,1.696789,6.012395
1.690109,5.671644,1.782188,5.355643,1.602018,5.980042
1.642180,5.657145,1.775384,5.356119,1.508407,5.948291
1.594350,5.642352,1.768722,5.355014,1.414769,5.916855
1.505584,5.613930,1.701862,5.303273,1.320186,5.884924
1.473705,5.603493,1.698424,5.301261,1.261302,5.863694
1.437277,5.591088,1.695304,5.298871,1.205964,5.835496
1.395523,5.575146,1.692419,5.296017,1.153273,5.798552
1.355265,5.555640,1.689785,5.292952,1.108796,5.752687
1.353194,5.510065,1.687576,5.289936,1.076106,5.703447
1.352029,5.467077,1.685570,5.286712,1.053861,5.647281
1.352174,5.428546,1.683978,5.283276,1.040469,5.588475
1.352771,5.396869,1.682941,5.279640,1.035105,5.528824
1.353831,5.346823,1.682005,5.273328,1.036422,5.429984
1.355181,5.296781,1.682442,5.266592,1.037465,5.331230
1.358856,5.196682,1.688636,5.165935,1.037583,5.231228
1.363560,5.096595,1.696880,5.065072,1.037292,5.131268
1.368861,4.996515,1.706311,4.964088,1.036761,5.031332
1.374256,4.896436,1.715926,4.863085,1.036195,4.931401
1.379006,4.796350,1.724260,4.762210,1.035885,4.831443
1.382925,4.696254,1.730940,4.661499,1.035906,4.731452
1.385664,4.596145,1.735270,4.561025,1.036396,4.631415
1.387529,4.496026,1.737861,4.460726,1.037235,4.531343
1.388751,4.395900,1.739175,4.360555,1.038329,4.431244
1.389882,4.295773,1.740306,4.260403,1.039459,4.331142
1.391013,4.195645,1.741438,4.160251,1.040590,4.231040
1.392144,4.095518,1.742569,4.060098,1.041720,4.130938
1.393275,3.995391,1.743700,3.959946,1.042851,4.030836
1.394406,3.895264,1.744831,3.859794,1.043981,3.930733
1.395537,3.795136,1.745962,3.759641,1.045112,3.830631
1.396668,3.695009,1.747094,3.659489,1.046242,3.730529
1.397799,3.594882,1.748225,3.559337,1.047373,3.630427
1.398930,3.494755,1.749356,3.459184,1.048503,3.530325
1.400001,3.394607,1.749986,3.359029,1.049634,3.430223
