center_x_m,center_y_m,inner_x_m,inner_y_m,outer_x_m,outer_y_m
5.514435,4.335237,5.429959,4.134289,5.529337,4.613011
5.452149,4.320648,5.369288,4.139267,5.509510,4.616669
5.384831,4.319728,5.313933,4.156779,5.490962,4.622301
5.335966,4.360937,5.261905,4.184667,5.472742,4.629831
5.291625,4.404810,5.215964,4.220129,5.455537,4.638721
5.256550,4.446979,5.176098,4.261565,5.439704,4.649596
5.237560,4.472121,5.141674,4.306513,5.425142,4.661903
5.218951,4.497560,5.107006,4.351022,5.411790,4.676414
5.168255,4.573719,5.043879,4.426775,5.344438,4.731925
5.142264,4.616995,4.984233,4.498985,5.332831,4.764302
5.093503,4.706050,4.916921,4.573603,5.297611,4.863301
5.047799,4.797515,4.848369,4.647276,5.268585,4.967006
5.003620,4.890179,4.779197,4.720483,5.242654,5.073062
4.958479,4.982089,4.710416,4.793984,5.214779,5.177626
4.911515,5.072560,4.642371,4.868051,5.183216,5.279378
4.861571,5.160684,4.588330,4.952765,5.132820,5.366803
4.806690,5.244921,4.540693,5.042347,5.068015,5.443273
4.749273,5.327162,4.487918,5.128021,5.004239,5.520522
4.690812,5.408577,4.433027,5.212085,4.940887,5.598095
4.631255,5.489134,4.375922,5.294464,4.877974,5.676002
4.601391,5.529327,4.372457,5.302654,4.816731,5.753012
4.577331,5.561298,4.369013,5.308372,4.771227,5.810522
4.549485,5.596360,4.364747,5.313594,4.718974,5.862683
4.519374,5.632858,4.359877,5.318571,4.657860,5.904554
4.475317,5.643385,4.354192,5.322377,4.590501,5.932223
4.419447,5.647618,4.345538,5.325654,4.493102,5.946496
4.366026,5.650680,4.336152,5.326672,4.395316,5.952187
4.267377,5.654530,4.240005,5.337359,4.295521,5.958880
4.167256,5.657689,4.139533,5.337784,4.195685,5.965887
4.067142,5.660998,4.039089,5.338501,4.095844,5.972836
3.966848,5.662927,3.938398,5.336460,3.996053,5.980336
3.915648,5.664295,3.932178,5.333341,3.897361,5.986871
3.816222,5.666184,3.837004,5.312639,3.797404,5.993410
3.775616,5.664157,3.834129,5.308324,3.723064,5.985411
3.739511,5.640540,3.832376,5.302806,3.649685,5.967654
3.706219,5.617700,3.832216,5.296174,3.583202,5.936475
3.675725,5.595541,3.833728,5.288998,3.519363,5.900367
3.635294,5.565575,3.838391,5.279619,3.432245,5.851318
3.556401,5.502254,3.749527,5.232372,3.362013,5.777928
3.480238,5.435597,3.658979,5.187501,3.297421,5.696591
3.405345,5.368429,3.568173,5.142996,3.234120,5.613429
3.331740,5.300159,3.476986,5.099022,3.173126,5.526954
3.264810,5.223880,3.391779,5.046336,3.117153,5.433047
3.197867,5.149716,3.309355,4.989651,3.057805,5.343917
3.164915,5.115795,3.234983,4.932971,3.036752,5.316812
3.128923,5.081753,3.161536,4.875017,3.011055,5.296082
3.091194,5.048725,3.088446,4.815560,2.983580,5.282884
3.053960,5.018873,3.030031,4.777397,2.962572,5.277834
2.995325,4.978248,2.964080,4.751409,2.940500,5.275252
